# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2009-01-24T00:00:00.0/2009-01-25T00:00:00.0;11662.5469;9062.6221;7400.4912;1662.1309;10367.9219;8301.2598;5891.8843;2409.3752;7490.0913;0.9833
2009-01-25T00:00:00.0/2009-01-26T00:00:00.0;11639.9121;9267.8027;8316.7168;951.0854;11956.6484;6583.0122;5060.2231;1522.7893;6635.0942;0.9837
2009-01-26T00:00:00.0/2009-01-27T00:00:00.0;11616.4873;9172.7871;8150.9170;1021.8697;11597.0254;7217.8472;5308.9980;1908.8491;6073.9023;0.9844
2009-01-27T00:00:00.0/2009-01-28T00:00:00.0;11592.3828;9189.6143;8305.1133;884.5009;11882.6484;6763.9233;3803.4736;2960.4495;4185.1411;0.9847
2009-01-28T00:00:00.0/2009-01-29T00:00:00.0;11567.5762;9173.5537;8245.7090;927.8449;11788.3203;6770.1445;4002.0854;2768.0593;4703.3374;0.9847
2009-01-29T00:00:00.0/2009-01-30T00:00:00.0;11541.9600;9197.5527;8159.7051;1037.8475;11558.7900;8550.9551;6816.9453;1734.0103;8701.8262;0.9854
2009-01-30T00:00:00.0/2009-01-31T00:00:00.0;11515.6475;8965.7832;7642.7964;1322.9869;10713.0742;8170.5352;6191.7974;1978.7377;7629.5757;0.9858
2009-01-31T00:00:00.0/2009-02-01T00:00:00.0;11488.5459;8949.1289;7689.6831;1259.4460;10872.5010;4058.3962;866.7134;3191.6829;1296.4189;0.9865
2009-02-01T00:00:00.0/2009-02-02T00:00:00.0;11460.8057;9098.8535;8174.7246;924.1287;11693.3379;7340.3115;5141.6582;2198.6536;5888.5747;0.9812
2009-02-02T00:00:00.0/2009-02-03T00:00:00.0;11432.2471;9057.5186;7997.2432;1060.2753;11463.1484;8214.5020;6728.3394;1486.1624;8218.4717;0.9875
2009-02-03T00:00:00.0/2009-02-04T00:00:00.0;11403.0039;9046.5117;7974.3262;1072.1852;11401.1260;7371.7651;4270.9111;3100.8542;5494.4507;0.9826
2009-02-04T00:00:00.0/2009-02-05T00:00:00.0;11372.9736;9014.8057;8124.5239;890.2818;11664.2842;6488.6270;3638.0601;2850.5669;4082.5029;0.9882
2009-02-05T00:00:00.0/2009-02-06T00:00:00.0;11342.3066;9042.9668;8149.7256;893.2410;11720.5371;8315.1572;6469.5366;1845.6208;8277.9990;0.9882
2009-02-06T00:00:00.0/2009-02-07T00:00:00.0;11310.8379;8938.4141;8165.2969;773.1168;11725.7148;6753.9312;3844.6873;2909.2439;4568.2993;0.9837
2009-02-07T00:00:00.0/2009-02-08T00:00:00.0;11278.6240;8837.5645;7571.1675;1266.3967;10824.4346;5731.7490;2250.0344;3481.7146;2485.0684;0.9844
2009-02-08T00:00:00.0/2009-02-09T00:00:00.0;11245.7451;8918.9287;8119.4741;799.4546;11823.7354;6823.3306;3540.1055;3283.2253;4165.1333;0.9847
2009-02-09T00:00:00.0/2009-02-10T00:00:00.0;11212.1494;8848.7227;8083.9087;764.8144;11807.3730;4553.7163;1608.9480;2944.7683;1714.2096;0.9799
2009-02-10T00:00:00.0/2009-02-11T00:00:00.0;11177.8262;8921.2891;8103.2124;818.0768;11776.7061;6601.1611;3593.4294;3007.7314;4036.7629;0.9802
2009-02-11T00:00:00.0/2009-02-12T00:00:00.0;11142.7549;8842.5781;7988.8135;853.7648;11599.4434;5415.7451;2931.7041;2484.0408;3590.0232;0.9809
2009-02-12T00:00:00.0/2009-02-13T00:00:00.0;11107.0117;8790.0967;7768.7183;1021.3787;11234.5986;6669.1924;3653.1223;3016.0701;4480.2275;0.9812
2009-02-13T00:00:00.0/2009-02-14T00:00:00.0;11070.5215;8689.6084;7648.5747;1041.0342;11090.3799;5014.5835;2388.1519;2626.4314;3066.3064;0.9819
2009-02-14T00:00:00.0/2009-02-15T00:00:00.0;11033.3721;8861.7451;8116.1104;745.6346;11859.9170;5140.9658;1544.5831;3596.3826;2014.5825;0.9823
2009-02-15T00:00:00.0/2009-02-16T00:00:00.0;10995.5361;8678.6816;7481.7661;1196.9153;10729.9062;7733.1006;5530.7646;2202.3359;6881.3979;0.9826
2009-02-16T00:00:00.0/2009-02-17T00:00:00.0;10956.9658;8416.1143;6654.9478;1761.1667;9355.8633;5186.2925;2089.6450;3096.6475;2504.3000;0.9833
2009-02-17T00:00:00.0/2009-02-18T00:00:00.0;10917.6973;8725.7314;7809.4316;916.3002;11456.3125;8109.4834;6520.3647;1589.1187;8356.8857;0.9840
2009-02-18T00:00:00.0/2009-02-19T00:00:00.0;10877.8008;8561.0781;7446.9141;1114.1644;10737.1123;6293.9497;2394.7019;3899.2478;3163.4124;0.9847
2009-02-19T00:00:00.0/2009-02-20T00:00:00.0;10837.2461;8509.1484;7263.4272;1245.7214;10596.5107;7209.6328;5135.3154;2074.3174;6561.0220;0.9851
2009-02-20T00:00:00.0/2009-02-21T00:00:00.0;10795.9697;8546.2520;7716.1133;830.1385;11424.5059;7835.1621;6215.8545;1619.3075;8084.6094;0.9854
2009-02-21T00:00:00.0/2009-02-22T00:00:00.0;10754.0986;8476.0107;7561.6509;914.3595;11050.4121;4180.0630;636.2950;3543.7683;786.0861;0.9858
2009-02-22T00:00:00.0/2009-02-23T00:00:00.0;10711.5254;8431.4277;7649.1973;782.2308;11174.2773;5321.2334;2569.4062;2751.8269;2819.2898;0.9865
2009-02-23T00:00:00.0/2009-02-24T00:00:00.0;10668.3564;8314.4600;7131.7188;1182.7412;10289.9824;4270.2202;1293.8195;2976.4009;1404.3478;0.9868
2009-02-24T00:00:00.0/2009-02-25T00:00:00.0;10624.5254;8354.8535;7366.7417;988.1117;10655.3320;3980.2034;712.3676;3267.8359;842.8032;0.9875
2009-02-25T00:00:00.0/2009-02-26T00:00:00.0;10580.0625;8344.6055;7133.2607;1211.3446;10462.6719;4687.9722;1890.3042;2797.6680;2053.9656;0.9882
2009-02-26T00:00:00.0/2009-02-27T00:00:00.0;10535.0527;8430.4268;7581.2754;849.1511;11272.1123;8022.4663;6954.8047;1067.6620;9067.3486;0.9885
2009-02-27T00:00:00.0/2009-02-28T00:00:00.0;10489.4453;8289.6143;7225.6768;1063.9371;10618.7852;6092.1064;4083.9868;2008.1194;5093.5381;0.9889
2009-02-28T00:00:00.0/2009-03-01T00:00:00.0;10443.2539;8067.3711;6569.7422;1497.6288;9540.6494;6575.6196;3735.9109;2839.7090;4488.2812;0.9788
2009-03-01T00:00:00.0/2009-03-02T00:00:00.0;10396.4512;8253.3457;7253.3418;1000.0039;10684.1123;7965.0537;6709.9780;1255.0759;9110.1074;0.9795
2009-03-02T00:00:00.0/2009-03-03T00:00:00.0;10349.1221;8140.4077;7121.0630;1019.3450;10524.2939;5632.6777;2826.9961;2805.6816;3455.7305;0.9799
2009-03-03T00:00:00.0/2009-03-04T00:00:00.0;10301.2168;8051.6138;7001.0728;1050.5406;10375.8018;5452.4863;3434.0051;2018.4810;4170.1079;0.9806
2009-03-04T00:00:00.0/2009-03-05T00:00:00.0;10252.7578;8021.9375;7198.5459;823.3917;10751.7705;4497.9688;1125.6733;3372.2957;1398.2656;0.9816
2009-03-05T00:00:00.0/2009-03-06T00:00:00.0;10203.8408;7923.9058;6815.6338;1108.2717;10087.3438;6317.6343;3618.2510;2699.3835;4547.3369;0.9816
2009-03-06T00:00:00.0/2009-03-07T00:00:00.0;10154.3555;7934.5542;6912.0161;1022.5379;10278.6543;6438.0176;3878.3286;2559.6890;4782.1021;0.9823
2009-03-07T00:00:00.0/2009-03-08T00:00:00.0;10104.4307;7806.8169;6702.8452;1103.9716;9971.3076;5897.1904;3408.1182;2489.0723;4219.2832;0.9722
2009-03-08T00:00:00.0/2009-03-09T00:00:00.0;10053.9697;7900.4551;7177.1714;723.2836;10871.2383;5578.4849;3161.9111;2416.5737;3681.1030;0.9833
2009-03-09T00:00:00.0/2009-03-10T00:00:00.0;10003.0918;7905.8911;7148.3501;757.5410;10817.9375;3173.5430;483.7238;2689.8191;537.5089;0.9837
2009-03-10T00:00:00.0/2009-03-11T00:00:00.0;9951.7100;7868.0591;6942.1001;925.9589;10444.7812;4821.4297;1931.1619;2890.2676;2276.7529;0.9844
2009-03-11T00:00:00.0/2009-03-12T00:00:00.0;9899.9365;7666.6611;6237.4507;1429.2109;9288.4062;6555.5649;4651.1182;1904.4471;5968.8145;0.9795
2009-03-12T00:00:00.0/2009-03-13T00:00:00.0;9847.6895;7863.6753;7016.0732;847.6016;10784.3877;6470.3301;5072.0166;1398.3134;6377.9023;0.9854
2009-03-13T00:00:00.0/2009-03-14T00:00:00.0;9795.0791;7930.0952;7277.1172;652.9780;11347.4258;7166.8560;5799.2017;1367.6543;8041.0732;0.9858
2009-03-14T00:00:00.0/2009-03-15T00:00:00.0;9742.0195;7947.1362;7298.6968;648.4393;11404.1055;7360.2124;5710.8857;1649.3265;8306.4443;0.9604
2009-03-15T00:00:00.0/2009-03-16T00:00:00.0;9688.5928;7646.3965;6739.0596;907.3368;10386.5801;6668.9312;4688.4736;1980.4578;6099.0752;0.9872
2009-03-16T00:00:00.0/2009-03-17T00:00:00.0;9634.7988;7704.9312;6895.2236;809.7075;10615.7334;6887.0435;5203.0513;1683.9921;7111.8799;0.9826
2009-03-17T00:00:00.0/2009-03-18T00:00:00.0;9580.7061;7507.6279;6601.4126;906.2152;10091.2754;6014.7437;4200.0552;1814.6884;5132.5024;0.9882
2009-03-18T00:00:00.0/2009-03-19T00:00:00.0;9526.2314;7519.4380;6614.4243;905.0136;10204.3477;4831.4053;2512.1470;2319.2581;2996.1748;0.9889
2009-03-19T00:00:00.0/2009-03-20T00:00:00.0;9471.4961;7422.6650;6327.5332;1095.1320;9762.5918;5669.5435;2805.9385;2863.6050;3504.0017;0.9892
2009-03-20T00:00:00.0/2009-03-21T00:00:00.0;9416.4092;7418.9746;6364.2886;1054.6863;9889.8818;6778.7349;5604.1968;1174.5377;7479.3584;0.9795
2009-03-21T00:00:00.0/2009-03-22T00:00:00.0;9361.1016;7460.8931;6726.7832;734.1098;10610.1846;6946.1416;5941.7222;1004.4193;7963.0410;0.9851
2009-03-22T00:00:00.0/2009-03-23T00:00:00.0;9305.4756;7274.8652;6263.1743;1011.6908;9765.2549;6527.2310;5080.3257;1446.9050;6759.7949;0.9858
2009-03-23T00:00:00.0/2009-03-24T00:00:00.0;9249.6699;7292.7588;6558.1997;734.5591;10383.6787;4856.8584;2490.1865;2366.6719;3143.3000;0.9809
2009-03-24T00:00:00.0/2009-03-25T00:00:00.0;9193.5801;7249.5176;6463.6772;785.8405;10229.5908;5043.6113;2061.7271;2981.8840;2643.0735;0.9816
2009-03-25T00:00:00.0/2009-03-26T00:00:00.0;9137.3555;7262.5103;6431.9243;830.5860;10178.8799;5600.6206;3411.5505;2189.0703;4379.1392;0.9823
2009-03-26T00:00:00.0/2009-03-27T00:00:00.0;9080.9307;7109.8438;6080.4927;1029.3513;9533.6562;6540.9980;5198.9214;1342.0769;6960.5503;0.9823
2009-03-27T00:00:00.0/2009-03-28T00:00:00.0;9024.3174;7060.9917;5922.4824;1138.5093;9365.6914;6636.4229;5030.0254;1606.3977;7407.2666;0.9830
2009-03-28T00:00:00.0/2009-03-29T00:00:00.0;8967.5947;7203.1357;6582.3345;620.8013;10741.3379;6848.8721;5704.8525;1144.0199;8708.4258;0.9833
2009-03-29T00:00:00.0/2009-03-30T00:00:00.0;8910.7188;7154.7227;6463.4199;691.3026;10535.9980;6840.8994;5722.5786;1118.3208;8732.7119;0.9840
2009-03-30T00:00:00.0/2009-03-31T00:00:00.0;8853.7393;7042.5498;6422.5112;620.0388;10520.5000;6766.5142;5861.4067;905.1074;8908.5674;0.9847
2009-03-31T00:00:00.0/2009-04-01T00:00:00.0;8796.6885;6914.1123;6062.4463;851.6660;9871.0225;5647.5098;3834.7148;1812.7950;5342.2822;0.9854
2009-04-01T00:00:00.0/2009-04-02T00:00:00.0;8739.6230;6902.6841;6214.7261;687.9580;10177.6611;5403.6289;4469.2417;934.3875;5782.9106;0.9858
2009-04-02T00:00:00.0/2009-04-03T00:00:00.0;8682.4746;6851.9131;6085.0347;766.8784;9899.8359;6101.2476;4774.9736;1326.2740;6916.1182;0.9865
