Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-11-29T00:00:00.0/2008-11-30T00:00:00.0;11662.7656;9497.3271;8200.0869;1297.24;11486.7666;6473.0024;2319.3027;4153.6992;3081.5146;0.9847
2008-11-30T00:00:00.0/2008-12-01T00:00:00.0;11674.5576;9532.9893;8498.0459;1034.9437;11987.9736;6706.2568;3207.8745;3498.3823;3803.8984;0.984
2008-12-01T00:00:00.0/2008-12-02T00:00:00.0;11685.8174;9575.7383;8633.5293;942.2096;12236.0879;4751.6445;759.0983;3992.5461;835.7621;0.9788
2008-12-02T00:00:00.0/2008-12-03T00:00:00.0;11696.6084;9704.1963;8764.9912;939.2051;12459.3193;5587.5752;1655.634;3931.9412;1779.2047;0.9837
2008-12-03T00:00:00.0/2008-12-04T00:00:00.0;11706.8525;9576.834;8257.1924;1319.6422;11648.7627;5886.1753;2533.1355;3353.04;2715.2844;0.9837
2008-12-04T00:00:00.0/2008-12-05T00:00:00.0;11716.6152;9825.3887;9018.7666;806.6214;13013.999;6761.7515;3430.3752;3331.3762;3880.0405;0.9837
2008-12-05T00:00:00.0/2008-12-06T00:00:00.0;11725.916;9744.8281;8807.999;936.8297;12547.749;5897.2275;1899.7532;3997.4744;2261.2551;0.9833
2008-12-06T00:00:00.0/2008-12-07T00:00:00.0;11734.7148;9616.335;8526.624;1089.7113;12080.374;5049.9937;1039.9592;4010.0342;1127.9464;0.983
2008-12-07T00:00:00.0/2008-12-08T00:00:00.0;11742.9961;9577.6641;8487.4355;1090.228;11888.4775;7015.2539;4237.1855;2778.0686;4773.2495;0.983
2008-12-08T00:00:00.0/2008-12-09T00:00:00.0;11750.7832;9360.2031;7385.5322;1974.671;10085.7861;6227.6938;3183.9133;3043.7805;3670.9082;0.9569
2008-12-09T00:00:00.0/2008-12-10T00:00:00.0;11758.0957;9379.293;7555.8477;1823.4451;10374.1953;6456.2617;3660.373;2795.8889;4343.5015;0.9833
2008-12-10T00:00:00.0/2008-12-11T00:00:00.0;11764.9736;9415.9199;7961.5298;1454.3898;10983.8564;4038.1035;396.1587;3641.9448;451.8911;0.9826
2008-12-11T00:00:00.0/2008-12-12T00:00:00.0;11771.3652;9503.7939;8171.9907;1331.8036;11422.9736;3045.1128;116.8472;2928.2654;133.4471;0.9823
2008-12-12T00:00:00.0/2008-12-13T00:00:00.0;11777.1953;9643.1602;8451.3184;1191.8418;11859.2568;7468.0474;4100.3496;3367.6978;4644.6416;0.9826
2008-12-13T00:00:00.0/2008-12-14T00:00:00.0;11782.6514;9591.2588;8369.3105;1221.9482;11743.3877;6696.9775;2561.0154;4135.9624;3207.1511;0.9823
2008-12-14T00:00:00.0/2008-12-15T00:00:00.0;11787.5615;9575.6943;8325.5654;1250.1289;11705.5186;6455.9404;2512.6304;3943.3103;3136.3577;0.9823
2008-12-15T00:00:00.0/2008-12-16T00:00:00.0;11792.0371;9693.8398;8655.3184;1038.5215;12311.6875;5916.8945;2059.0964;3857.7983;2384.6504;0.9823
2008-12-16T00:00:00.0/2008-12-17T00:00:00.0;11796.0645;9696.3643;8551.3076;1145.0569;12163.7188;6864.3677;2641.7852;4222.5825;3478.9951;0.9715
2008-12-17T00:00:00.0/2008-12-18T00:00:00.0;11799.5449;9653.2695;8431.3232;1221.9458;11946.0957;6388.7446;2322.2256;4066.5193;3190.0173;0.9819
2008-12-18T00:00:00.0/2008-12-19T00:00:00.0;11802.6475;9643.1709;8595.9023;1047.2687;12137.8691;6350.77;2743.6621;3607.1077;3395.2236;0.9819
2008-12-19T00:00:00.0/2008-12-20T00:00:00.0;11805.2266;9555.8027;8304.9873;1250.8153;11691.0098;4948.4546;1119.8175;3828.6372;1228.0255;0.9816
2008-12-20T00:00:00.0/2008-12-21T00:00:00.0;11807.3564;9567.8535;8318.2705;1249.5829;11686.5889;7315.5898;3509.6523;3805.9375;4464.8545;0.9819
2008-12-21T00:00:00.0/2008-12-22T00:00:00.0;11809.001;9624.1807;8445.8369;1178.3439;12001.9092;6638.7065;3621.8374;3016.8691;5359.4297;0.9816
2008-12-22T00:00:00.0/2008-12-23T00:00:00.0;11810.1914;9581.9629;8682.6846;899.2783;12454.375;4126.1055;472.9753;3653.1304;527.6383;0.9819
2008-12-23T00:00:00.0/2008-12-24T00:00:00.0;11810.8975;9655.6445;8968.7637;686.8807;12867.2051;4387.7051;586.3075;3801.3975;651.3066;0.9816
