Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2018-10-01T00:00:00.0/2018-11-01T00:00:00.0;327113.5;232144.75;186189.7188;45955.043;259648.0469;140943.3125;61946.043;78997.2656;86246.625;0.9716
2018-11-01T00:00:00.0/2018-12-01T00:00:00.0;342668.0938;247409.5781;204986.1406;42423.4375;282043.3125;146422.2031;62893;83529.2031;88367.0469;0.9704
2018-12-01T00:00:00.0/2019-01-01T00:00:00.0;365130.3438;264241.4375;220279.125;43962.3047;302921.9688;186298.0469;96725.8359;89572.2109;134216.3906;0.9708
2019-01-01T00:00:00.0/2019-02-01T00:00:00.0;361583;262276;222802.125;39473.8672;308721.0938;188448.2656;101483.2031;86965.0547;140082.7812;0.975
2019-02-01T00:00:00.0/2019-03-01T00:00:00.0;309455.0938;226709.9375;192988.9062;33721.0234;271148.4062;169602.4844;104034.0469;65568.4453;147807.3125;0.9698
2019-03-01T00:00:00.0/2019-04-01T00:00:00.0;306924.25;219339.4531;179892.9844;39446.4688;261454.1562;129207.2734;58715.6094;70491.6641;87565.8594;0.9727
2019-04-01T00:00:00.0/2019-05-01T00:00:00.0;251705.9531;181008.1562;150555.1875;30452.9707;242753.3906;96854.5312;49412.1992;47442.332;82424.9453;0.9816
2019-05-01T00:00:00.0/2019-06-01T00:00:00.0;218317.75;157628.75;132994.2656;24634.4922;241743.8281;85509.6719;48067.3945;37442.2773;85673.0391;0.9834
2019-06-01T00:00:00.0/2019-07-01T00:00:00.0;191216.1562;137734.0938;115611.0078;22123.0938;224239.7344;82560.6094;50663.5273;31897.082;98029.2578;0.9836
2019-07-01T00:00:00.0/2019-08-01T00:00:00.0;206359.3281;147412.1562;119506.6641;27905.4902;222169.5781;95242.8672;58766.3516;36476.5156;108217.6406;0.9835
2019-08-01T00:00:00.0/2019-09-01T00:00:00.0;240698.7344;168018.7344;126935.6641;41083.0664;210242.375;141849.6094;92970.8438;48878.7656;153643.2031;0.9823
2019-09-01T00:00:00.0/2019-10-01T00:00:00.0;276577.6562;189274.3125;139056.0469;50218.2773;203708.8281;142502.8281;74213.0625;68289.7656;107196.0703;0.9803
2019-10-01T00:00:00.0/2019-11-01T00:00:00.0;326830.8125;234614.5938;189701.1406;44913.4492;265764.5;174868.4375;111091.1484;63777.293;152501.1562;0.976
2019-11-01T00:00:00.0/2019-12-01T00:00:00.0;342520.7188;243504.2812;195696.9375;47807.3398;267038.5312;191785.7969;113384.7344;78401.0547;153153.5312;0.9748
