# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2008-10-30T00:00:00.0
# Date end (ISO 8601): 2023-11-01T00:00:00.0
# Latitude (positive North, ISO 19115): -32.7259
# Longitude (positive East, ISO 19115): -60.6638
# Altitude (m): 10.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-12-12
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2009-01-06T00:00:00.0/2009-01-07T00:00:00.0;12142.9824;9120.2412;8030.2329;1090.0079;11458.1719;7836.4883;5093.7588;2742.7297;6637.7749;0.9101
2009-01-07T00:00:00.0/2009-01-08T00:00:00.0;12127.9023;8985.1816;7546.9111;1438.2703;10665.1240;4033.4280;773.8414;3259.5864;1731.3989;0.9837
2009-01-08T00:00:00.0/2009-01-09T00:00:00.0;12111.8252;9194.6299;8148.0640;1046.5658;11736.6992;8416.0225;6171.2588;2244.7642;8079.8799;0.9837
2009-01-09T00:00:00.0/2009-01-10T00:00:00.0;12094.7607;9132.3975;8012.0669;1120.3301;11564.7158;8634.8398;6833.1016;1801.7383;9287.1045;0.9840
2009-01-10T00:00:00.0/2009-01-11T00:00:00.0;12076.6992;9228.3037;8274.3506;953.9537;12015.5439;8539.1709;6378.1021;2161.0691;9338.0938;0.9844
2009-01-11T00:00:00.0/2009-01-12T00:00:00.0;12057.6143;9173.1699;8071.5078;1101.6624;11683.6904;9164.7061;8065.4766;1099.2299;11598.9111;0.9851
2009-01-12T00:00:00.0/2009-01-13T00:00:00.0;12037.5898;9045.6455;7902.3491;1143.2968;11325.0283;4997.8672;1067.3712;3930.4961;1764.1276;0.9854
2009-01-13T00:00:00.0/2009-01-14T00:00:00.0;12016.6152;8799.7002;7548.3193;1251.3805;10813.3916;7940.9644;5550.5181;2390.4460;7437.6982;0.9802
2009-01-14T00:00:00.0/2009-01-15T00:00:00.0;11994.6328;8960.3086;7872.2207;1088.0874;11343.8994;8838.6924;7612.1968;1226.4951;10818.0234;0.9802
2009-01-15T00:00:00.0/2009-01-16T00:00:00.0;11971.6689;8803.6553;7663.7495;1139.9058;11048.0977;6526.7725;2400.8394;4125.9331;3086.1311;0.9809
2009-01-16T00:00:00.0/2009-01-17T00:00:00.0;11947.7256;8986.9521;7811.7402;1175.2118;11289.4473;8986.9521;7811.7402;1175.2118;11289.4414;0.9812
2009-01-17T00:00:00.0/2009-01-18T00:00:00.0;11922.7832;8903.3457;7869.8208;1033.5254;11318.1494;8383.0293;6615.1636;1767.8657;9143.9922;0.9816
2009-01-18T00:00:00.0/2009-01-19T00:00:00.0;11896.9092;9155.7900;7848.6826;1307.1080;11246.5859;6524.9160;2853.0703;3671.8455;4215.2119;0.9823
2009-01-19T00:00:00.0/2009-01-20T00:00:00.0;11870.0615;9086.3096;7984.2163;1102.0934;11528.0947;8940.7646;7756.7197;1184.0449;10671.2998;0.9826
2009-01-20T00:00:00.0/2009-01-21T00:00:00.0;11842.2236;9063.8467;8023.2236;1040.6233;11697.0986;8887.5146;7606.8057;1280.7089;10696.5107;0.9830
2009-01-21T00:00:00.0/2009-01-22T00:00:00.0;11813.4678;9052.9219;8226.7734;826.1480;12127.4951;8863.2881;7798.3911;1064.8967;11166.7832;0.9840
2009-01-22T00:00:00.0/2009-01-23T00:00:00.0;11783.7129;9036.4307;8139.4478;896.9827;11974.0850;8631.4219;7304.6724;1326.7491;10426.7812;0.9792
2009-01-23T00:00:00.0/2009-01-24T00:00:00.0;11753.0645;8768.4844;7850.9761;917.5084;11441.6318;7513.1372;5059.7280;2453.4094;7509.1582;0.9795
2009-01-24T00:00:00.0/2009-01-25T00:00:00.0;11721.4189;8529.2666;7354.8066;1174.4606;10591.3369;7806.9224;5750.2886;2056.6335;7682.0132;0.9799
2009-01-25T00:00:00.0/2009-01-26T00:00:00.0;11688.8984;8437.1348;6995.2637;1441.8708;9807.9561;4773.2866;1297.3485;3475.9382;1974.9604;0.9809
2009-01-26T00:00:00.0/2009-01-27T00:00:00.0;11655.3906;8366.8672;6479.0972;1887.7703;9056.8184;8366.8672;6479.0977;1887.7703;9056.8184;0.9812
2009-01-27T00:00:00.0/2009-01-28T00:00:00.0;11621.0166;8275.4990;6656.3452;1619.1542;9402.0918;3360.5164;303.8980;3056.6184;507.2107;0.9816
2009-01-28T00:00:00.0/2009-01-29T00:00:00.0;11585.6758;8332.8330;6810.9854;1521.8480;9647.2178;4920.5073;1466.9103;3453.5972;2140.2578;0.9823
2009-01-29T00:00:00.0/2009-01-30T00:00:00.0;11549.4697;8566.9980;7261.4048;1305.5929;10508.3018;8069.1377;6173.9570;1895.1808;9022.0918;0.9823
2009-01-30T00:00:00.0/2009-01-31T00:00:00.0;11512.3281;8718.3789;7556.7153;1161.6635;11049.1924;8015.6313;5829.5874;2186.0442;8775.3779;0.9837
2009-01-31T00:00:00.0/2009-02-01T00:00:00.0;11474.3213;8472.8291;7155.3271;1317.5017;10304.2754;7754.8828;5213.1162;2541.7661;7360.0781;0.9837
